Name	Reactants	SMARTS	Products	Comments
AlphaCarboxyImineAdduct_Acetaldehyde	Any;Acetaldehyde	[#6;H2R1:7][#6;R1:6]=[#7;R1:5][#6;R1:4]-[#6:1](-[#8:3])=[O:2].[#6H1:9]=[O:8]>>[#8:3]-[#6:1](=[O:2])-[#6;R1:4][#7;R1:5]=[#6;R1:6][#6:7]=[#6:9].[#8:8]	Any;Water
AlphaCarboxyImineAdduct_MGlyoxal	Any;MGlyoxal	[#6;H2R1:7][#6;R1:6]=[#7;R1:5][#6;R1:4]-[#6:1](-[#8:3])=[O:2].[#6H1:9]=[O:8]>>[#8:3]-[#6:1](=[O:2])-[#6;R1:4][#7;R1:5]=[#6;R1:6][#6:7]=[#6:9].[#8:8]	Any;Water
AlphaCarboxyImineAdduct_Pyridoxal	Any;PyridoxalP	[#6;H2R1:7][#6;R1:6]=[#7;R1:5][#6;R1:4]-[#6:1](-[#8:3])=[O:2].[#6H1:9]=[O:8]>>[#8:3]-[#6:1](=[O:2])-[#6;R1:4][#7;R1:5]=[#6;R1:6][#6:7]=[#6:9].[#8:8]	Any;Water
AlphaCarboxyImineAdductRearr_Acetaldehyde	Any;Acetaldehyde	[#6;H2R1:7]-[#6;R1H2:6][#7;R1:5]=[#6;R1:4][#6R0:1](-[#8:3])=[O:2].[#6H1:9]=[O:8]>>[#8:3]-[#6:1](=[O:2])-[#6;R1:4][#7;R1:5]=[#6;R1H1:6][#6H0:7]=[#6:9].[#8:8]	Any;Water
AlphaCarboxyImineAdductRearr_MGlyoxal	Any;MGlyoxal	[#6;H2R1:7]-[#6;R1H2:6][#7;R1:5]=[#6;R1:4][#6R0:1](-[#8:3])=[O:2].[#6H1:9]=[O:8]>>[#8:3]-[#6:1](=[O:2])-[#6;R1:4][#7;R1:5]=[#6;R1H1:6][#6H0:7]=[#6:9].[#8:8]	Any;Water
AlphaCarboxyImineAdductRearr_Pyridoxal	Any;PyridoxalP	[#6;H2R1:7]-[#6;R1H2:6][#7;R1:5]=[#6;R1:4][#6R0:1](-[#8:3])=[O:2].[#6H1:9]=[O:8]>>[#8:3]-[#6:1](=[O:2])-[#6;R1:4][#7;R1:5]=[#6;R1H1:6][#6H0:7]=[#6:9].[#8:8]	Any;Water
AlphaEnolDecarboxylation	Any	[#8H1:1][#6:2]=[#6:3][#6:4](-[#8H1:6])=[O:5]>>[#8:1]-[#6:2]=[#6:3].[O:5]=[C:4]=[O:6]	Any;CO2	RXN-7859;RXN-7858;RXN-7857;RXN-12063
AlphaHydroxyAldehydeOxidation	Any;O2	[#8:1]-[#6H2:2]-[#6:3]=[O:4].[O:5]=[O:6]>>[#8:1]-[#6:2](=[O:5])-[#6:3]=[O:4].[#8:6]	Any;Water
AlphaHydroxyImineOxidativeCleavage	Any;H2O2	[#6:1]-[#6:2](-[#8H1:3])-;!@[#6:4](-[#6:6])=[#7:5].[#8:7]-[#8:8]>>[#6:1]-[#6:2]=[O:3].[#6:6]-[#6:4](-[#7:5])=[O:7].[#8:8]	Any;Any;Water
AlphaKetoAddition_Acetaldehyde	Any;Acetaldehyde	[O:6]=[#6H1:4]-[#6:5]=[O:7].[#6H3:1]-[#6:2]=[O:3]>>[#8:6]-[#6:4](-[#6:1]-[#6:2]=[O:3])-[#6:5]=[O:7]	Any	Gomez-Sanchez A et al (1992) Carbohydrate Research 229:307-322
AlphaKetoAddition_MGlyoxal	Any;MGlyoxal	[#6H3:1]-[#6;D3:2]=[O:3].[O:6]=[#6H1:4]-[#6:5]=[O:7]>>[#8:6]-[#6:4](-[#6:1]-[#6:2]=[O:3])-[#6:5]=[O:7]	Any	19364643
AlphaKetoDeamination	Any;Water;O2	[#7H2:2]-[#6;R0;H2:1]-[#6;R0:3]=[O:4].[#8:5].[O:6]=[O:7]>>[O:5]=[#6;R0H1:1]-[#6;R0:3]=[O:4].[#7:2].[#8:6]-[#8:7]	Any;Ammonia;H2O2
AlphaKetoDecarboxylation	Any	[#8H1:2]-[#6:1](=[O:3])-[#6:4](-[*:6])=[O:5]>>[O:3]=[C:1]=[O:2].[*:6]-[#6:4]=[O:5]	CO2;Any	Tsai CS (1967) Canadian Journal of Chemistry 45: 873-880; 13587530
AlphaKetoDecarboxylationRearr	Any	[#8H1:6]-[#6H1@:5]-[#6:4](=[O:7])-[#6:1](-[#8H1:2])=[O:3]>>[O:3]=[C:1]=[O:2].[#8H1:7]-[#6:4]-[#6H0:5]=[O:6]	CO2;Any	13712713; 13587530
AlphaKetoPhosphoesterHydrolysis	Any;Water	[#15;D4:4]-[#8:2]-[#6:1]=[O:3].[#8:5]>>[#8:2]-[#6:1]=[O:3].[#8:5]-[#15;D4:4]	Any;Any	5472367
AlphaNitroCondensation_Cysteine	Any;Cysteine	[#6;H2R0:1][N+:2](=[O:3])-[O-:4].[#6:6]-[#16H1:5]>>[#6:6]-[#16:5][#6:1]=[#7:2][#8:3].[#8:4]	Any;Water	RXN-11427;RXN-11420;RXN-11421;RXN-11423;RXN-11422;RXN-11425
AlphaNitroCondensation_Glutathione	Any;Glutathione	[#6;H2R0:1][N+:2](=[O:3])-[O-:4].[#6:6]-[#16H1:5]>>[#6:6]-[#16:5][#6:1]=[#7:2][#8:3].[#8:4]	Any;Water	RXN-11427;RXN-11420;RXN-11421;RXN-11423;RXN-11422;RXN-11425
AmineMethylation	Any;S-Adenosylmethionine	[#6;R0:2]-[#7;R0;H1,H2:1].[#6H3:3]-[#16;D3:4]>>[#6:2]-[#7v3:1]-[#6:3].[#16:4]	Any;S-Adenosylhomocysteine	3985978
AmineRiboseHydrolysis	Any;Water	[#6;R1:5]-[#7H1:4]-[#6;R1r5:2](-[#6;R1r5:3])-[#8;R1r5:1].[#8:6]>>[#6;R1r5:3]-[#6;R1r5:2](-[#7:4])-[#8;R1r5:1].[#6;R1:5]-[#8:6]	Any;Any	25431972; 8897600
AromaticDeamination	Any;Water	[#6;a:1]-[#7H2:2].[#8:3]>>[#6;a:1]-[#8:3].[#7:2]	Any;Ammonia
AromaticDecarboxylation	Any	[#8R0:1][cR1:2][cR1:3][C:4](-[#8H1:6])=[O:5]>>[#8:1]-[c:2][c:3].[O:5]=[C:4]=[O:6]	Any;CO2	RXN-7859;RXN-7858;RXN-7857;RXN-12063
AutoxidationToCarboxylicAcid	Any;H2O2	[#6:5]-[#6;R0:2](=[O:1])-[#6;H2R0:3]-[#8:4].[#8:6]-[#8:7]>>[#6:5]-[#6;R0:2](-[#8:1])-[#6:3](-[#8:4])=[O:6].[#8:7]	Any;Water
AutoxidationToKetone	Any;O2	[#8H1:4]-[#6R0h@:3]-[#6;R0:2]=[O:1].[O:5]=[O:6]>>[O:4]=[#6H0:3]-[#6:2]=[O:1].[#8:5]-[#8:6]	Any;H2O2	21376711; 6365176; 12566068; 6099220
BetaHydroxyDehydration	Any	[#8H1:1]-[#6;H2:2]-[#6:3](=[O:6])-[#6:4]-;!@[#8:5]>>[#6:4]-[#6:3](=[O:6])-[#6:2]=[O:1].[#8:5]	Any;Any
BetaKetoDecarboxylation	Any	[#8H1:2]-[#6:1](=[O:3])-[#6;H1,H2:4]-[#6:5]=[O:6]>>[O:3]=[C:1]=[O:2].[#6:4]-[#6:5]=[O:6]	CO2;Any	Gomez-Sanchez A et al (1992) Carbohydrate Research 229: 307-322
Carbamylation_CarbamoylPhosphate	Any;CarbamoylPhosphate	[#6:2]-[#7H2,#16H1:1].[#7:5]-[#6:4](-[#7,#8:6])=[O:3]>>[#6:2]-[*:1]-[#6:4](-[#7:5])=[O:3].[*:6]	Any;Pi	14229666; 14193831; 14193831
Carbamylation_Urea	Any;Urea	[#6:2]-[#7H2,#16H1:1].[#7:5]-[#6:4](-[#7,#8:6])=[O:3]>>[#6:2]-[*:1]-[#6:4](-[#7:5])=[O:3].[*:6]	Any;Ammonia	5129584; 14193831; 14193831
CyclohexadieneDecarboxylation	Any	[#8H1:7]-[#6:4]-1-[#6:3]=[#6:2]-[#6:1](-[#6:6]=[#6:5]-1)-[#6:8](-[#8H1:10])=[O:9]>>[#8H1:7]-[#6:4]-1-[#6:5]=[#6:6]-[#6:1]-[#6:2]=[#6:3]-1.[O:9]=[C:8]=[O:10]	Any;CO2	Greenberg DM (1961) Metabolic Pathways: Second Edition of Chemical Pathways of Metabolism 2: 210
CyclohexadieneDehydration	Any	[#8H1:7]-[#6H1:4]-1-[#6:3]=[#6:2]-[#6H1:1]-[#6:6]=[#6:5]-1>>[c:1]1[c:2][c:3][c:4][c:5][c:6]1.[#8:7]	Any;Water	5787238; 16464106
CyclohexadieneRearrangement	Any	[#8:10]-[#6:6]-1-[#6:5]=[#6:4]-[#6:3]=[#6:2]-[#6:1]-1-[#8:7]-[#6:8]=[#6:9]>>[#8:10]-[#6:4]-1-[#6:5]=[#6:6]-[#6:1](-[#8:7]-[#6:8]=[#6:9])-[#6:2]=[#6:3]-1	Any	Gibson F (1970) Methods of Enzymology 17 Part A: 362-364
Decarbamylation	Any;Water	[#6;a:1]-[#7H1:2]-[#6:3](-[#8H1:4])=[O:5].[#8:6]>>[#6;a:1]-[#7:2].[#8:6]-[#6:3](-[#8H1:4])=[O:5]	Any;Any	8117684
DihydropyridineHydration	Any;Water	[#8;D2R1r5:1]-[#6;R1r5:2]-[#7;R1r6:3]-[#6;R1r6:4]=[#6R1r6:6].[#8:5]>>[#6:6]-[#6:4](-[#8H1:5])-[#7;R1r6:3]-[#6;R1r5:2]-[#8;D2R1r5:1]	Any	3061454; 3304160; 8214579
DihydroxylOxidativeCleavage	Any;H2O2	[#6:2]-[#6:4](=[#7:3])-[#6h:5](-[#8H1:1])-[#6h:6]-[#8H1:7].[#8:8]-[#8:9]>>[#6:2]-[#6:4](=[#7:3])-[#6:5]=[O:1].[O:7]=[*:6].[#8:8].[#8:9]	Any;Any;Water;Water
DiketoneOxidativeCleavage	Any;H2O2	[#6:5]-[#6:3](=[O:4])-;!@[#6:1]=[O:2].[#8:6]-[#8:7]>>[#8:6]-[#6:1]=[O:2].[#6:5]-[#6:3](-[#8:7])=[O:4]	Any;Any
DisulfideFormation	Any;Any	[#6:1]-[#16H1:2].[#6:4]-[#16H1:3]>>[#6:1]-[#16:2]-[#16:3]-[#6:4].[#1+].[#1+]	Any;H+;H+	Tubbs PK and Garland PB (1969) Methods in Enzymology 13: 535-551
DisulfideFormation_Cysteamine	Any;Cysteamine	[#6:1]-[#16H1:2].[#6:4]-[#16H1:3]>>[#6:1]-[#16:2]-[#16:3]-[#6:4].[#1+].[#1+]	Any;H+;H+	Tubbs PK and Garland PB (1969) Methods in Enzymology 13: 535-551
DisulfideFormation_Cysteine	Any;Cysteine	[#6:1]-[#16H1:2].[#6:4]-[#16H1:3]>>[#6:1]-[#16:2]-[#16:3]-[#6:4].[#1+].[#1+]	Any;H+;H+	Tubbs PK and Garland PB (1969) Methods in Enzymology 13: 535-551
DisulfideFormation_Glutathione	Any;Glutathione	[#6:1]-[#16H1:2].[#6:4]-[#16H1:3]>>[#6:1]-[#16:2]-[#16:3]-[#6:4].[#1+].[#1+]	Any;H+;H+	9626329; 11807184
DoubleNucleophilicAddition_Glyoxal	Any;Glyoxal	[#7H2:3]-[c:2](:[#7,#6;a:4]):[nH1:1].[O:5]=[#6:6]-[#6H1:7]=[O:8]>>[#8:8]-[#6:7]-1-[#7;v3:3]-[c:2](:[*:4])[n:1]-[#6:6]-1-[#8:5]	Any	11312885; 16970975
DoubleNucleophilicAddition_Mglyoxal	Any;MGlyoxal	[#7H2:3]-[c:2](:[#7,#6;a:4]):[nH1:1].[O:5]=[#6:6]-[#6H1:7]=[O:8]>>[#8:8]-[#6:7]-1-[#7;v3:3]-[c:2](:[*:4])[n:1]-[#6:6]-1-[#8:5]	Any	11312885; 16970975
DoubleNucleophilicCondensation_Malondialdehyde	Any;Malondialdehyde	[#7H2:1]-[c:2](:[n:4]):[nH1:3].[#8:5]=[#6:6]-[#6:7]-[#6:8]=[#8:9]>>[n:4]:[c:2]1[n:3][c:8][c:7][c:6][n:1]1.[#8:5].[#8:9]	Any;Water;Water
EnaminoneFormation_Malondialdehyde	Any;Malondialdehyde	[#6:2]-[#7H2:1].[O:3]=[#6;R0:4]-[#6;R0:5]-[#6;R0:6]=[O:7]>>[#6:2]-[#7:1][#6:6]=[#6:5][#6:4]=[O:3].[#8:7]	Any;Water
EnoneDeamination	Any;Water	[#7H2:2]-[#6;R0:1](=[#6R0:3])-[#6;R0:4]=[O:5].[#8:6]>>[#6;R0:3]-[#6;R0:1](=[O:6])-[#6;R0:4]=[O:5].[#7:2]	Any;Ammonia
EpsilonLactamFormation	Any	[#7;H1,H2:1]-[#6;R0:2]-[#6;R0:3]-[#6;R0:4]-[#6;R0:5]-[#6;R0:6](-[#8H1,#7H2:8])=[O:7]>>[O:7]=[#6:6]-1-[#6:5]-[#6:4]-[#6:3]-[#6:2]-[#7:1]-1.[*:8]	Any;Any	23014442; 14275125
FuranoseRingOpening	Any	[#8H1:7]-[#6:3]-1-[#6:2]-[#8:1]-[#6:5](-[#8H1:6])-[#6:4]-1-[#8H1:8]>>[#8:1]-[#6:2]-[#6:3](-[#8:7])-[#6:4](-[#8:8])-[#6:5]=[O:6]	Any
GammaHydroxyDehydration	Any	[#8;D2:5]-[#6;R0:4]-[#6;H1R0@:3](-[#8H1:6])-[#6R0:2]=[O:1]>>[#6:4]-[#6H0:3](=[O:6])-[#6:2]=[O:1].[#8:5]	Any;Any
GammaLactamFormation	Any	[#7;H1,H2:1]-[#6;R0:2]-[#6;R0:3]-[#6;R0:4]-[#6;R0:5](-[#8H1,#7H2:7])=[O:6]>>[O:6]=[#6:5]-1-[#6:4]-[#6:3]-[#6:2]-[#7:1]-1.[*:7]	Any;Any	23014442; 22201749; 4400295
GeminalDiolDehydration	Any	[#8H1:2]-[#6:1]-[#8H1:3]>>[#6:1]=[O:2].[#8:3]	Any;Water	RXN-8509;RXN-8537;RXN-8533;RXN-8516
GuanadineNucleophilicCyclization_Arginine	Any;Arginine	[#8:5]=[#6H1:6]-[#6:7]=[#8:8].[#7R0:2]-,=[#6R0:1](-,=[#7R0h:3])-,=[#7R0h:4]>>[#7:2]~[#6:1]~1~[#7:3]-[#6:6](-[#8:5])-[#6:7](-[#8:8])-[#7:4]~1	Any
GuanadineNucleophilicCyclization_Glyoxal	Any;Glyoxal	[#7R0:2]-,=[#6R0:1](-,=[#7R0h:3])-,=[#7R0h:4].[#8:5]=[#6H1:6]-[#6:7]=[#8:8]>>[#7:2]~[#6:1]~1~[#7:3]-[#6:6](-[#8:5])-[#6:7](-[#8:8])-[#7:4]~1	Any
GuanadineNucleophilicCyclization_MGlyoxal	Any;MGlyoxal	[#7R0:2]-,=[#6R0:1](-,=[#7R0h:3])-,=[#7R0h:4].[#8:5]=[#6H1:6]-[#6:7]=[#8:8]>>[#7:2]~[#6:1]~1~[#7:3]-[#6:6](-[#8:5])-[#6:7](-[#8:8])-[#7:4]~1	Any
ImineDeamination	Any;Water	[#6:1]=[#7;H1R0:2].[#8:3]>>[#7:2].[#6:1]=[O:3]	Ammonia;Any	RXN-15573;RXN-15123;RXN-15127;RXN-15197;RXN-15850
ImineHydrolysis	Any;Water	[#6:6]=[#7R0:5][#6:4]=[#6:3][#6:2]=[O:1].[#8:7]>>[#7:5][#6:4]=[#6:3][#6:2]=[O:1].[#6:6]=[O:7]	Any;Any
ImineReduction	Any;Ascorbate	[#6;H2R0:1]-[#7;R0:2]=[#6;H1R0:3].[#8:4][#6:5]=[#6:6][#8:7]>>[#6:3]-[#7:2]-[#6:1].[O:4]=[#6:5]-[#6:6]=[O:7]	Any;Dehydroascorbate	660311; Jan Velisek (2014) The Chemistry of Food: 374-375
KetimineHydrolysis	Any;Water	[#7;R0:1]=[#6:2]-[#6:3]=[O:4].[#8:5]>>[O:4]=[#6:3]-[#6:2]=[O:5].[#7:1]	Any;Ammonia	18959769; 7033218
MailardReaction_Asparagine	Any;Asparagine	[#8H1:14]-[#6;H2D2:10]-[#6:9](-[#8H1:13])-[#6:8](-[#8H1:12])-[#6:7](-[#8H1:11])-[#6;@,@@:5](-[#8H1:6])-[#6H1:4]=[O:3].[#6;D3:2]-[#7H2:1]>>[#8:3].[#6;D3:2]-[#7H:1]-[#6:4][C:5]1([#8H1:6])[#8:14]-[#6;H2D2:10]-[#6:9](-[#8H1:13])-[#6:8](-[#8H1:12])-[#6:7]1-[#8H1:11]	Any;Water	23946487
MailardReaction_Glucose	Any;Glucose	[#6;D3:2]-[#7H2:1].[#8H1:14]-[#6;H2D2:10]-[#6:9](-[#8H1:13])-[#6:8](-[#8H1:12])-[#6:7](-[#8H1:11])-[#6;@,@@:5](-[#8H1:6])-[#6H1:4]=[O:3]>>[#8:3].[#6;D3:2]-[#7H:1]-[#6:4][C:5]1([#8H1:6])[#8:14]-[#6;H2D2:10]-[#6:9](-[#8H1:13])-[#6:8](-[#8H1:12])-[#6:7]1-[#8H1:11]	Any;Water	23946487
MichaelAddition_Cysteine	Any;Cysteine	[#6;R0:1]=[#6;R0:2]-[$(C=O),$(C#N),$(C[N+](=O)[O-]);R0:3].[#6:5]-[#16H1,#7H2:6]>>[#6:5]-[*:6]-[#6;R0:1]-[#6;R0:2]-[*:3]	Any	16624247; Nair V et al (1981) J Am Chem Soc 103: 3030-3036
MichaelAddition_Fumarate	Any;Fumarate	[#6:5]-[#16H1,#7H2:6].[#6;R0:1]=[#6;R0:2]-[$(C=O),$(C#N),$(C[N+](=O)[O-]);R0:3]>>[#6:5]-[*:6]-[#6;R0:1]-[#6;R0:2]-[*:3]	Any	16624247; Nair V et al (1981) J Am Chem Soc 103: 3030-3036
MichaelAddition_Glutathione	Any;Glutathione	[#6;R0:1]=[#6;R0:2]-[$(C=O),$(C#N),$(C[N+](=O)[O-]);R0:3].[#6:5]-[#16H1,#7H2:6]>>[#6:5]-[*:6]-[#6;R0:1]-[#6;R0:2]-[*:3]	Any	16624247; Nair V et al (1981) J Am Chem Soc 103: 3030-3036
MichaelAdditionCyclization_HNE	Any;HNE	[#6:2]-[#16H1,#7H2:1].[#8:8]-[#6;R0:7][#6;R0:6]=[#6;R0:5][#6;R0:4]=[O:3]>>[#6:2]-[*:1]-[#6:6]-1-[#6:7]-[#8:8]-[#6:4](-[#8:3])-[#6:5]-1	Any	24688895; 241172; 1937131
MichaelAdditionNucleophilicCyclization_HNE	Any;HNE	[#7H2:1]-[c:2](:[#6,#7:3]):[nH1:4].[#6;R0:8]=[#6;R0:7]-[#6;R0:6]=[O:5]>>[#8:5]-[#6:6]-1-[#6:7]-[#6:8]-[#7:1]-[c:2](:[*:3])[n:4]-1	Any	7696543
NKetoseSugarHydrolysis	Any;Water	[#6;R1:5]-[#7H1:4]-[#6;R0:8]-[#6;R0:2](=[O:1])-[#6;R0:3](-[#6;R0:7])-[#8:6].[#8:9]>>[#6;R0:7]-[#6;R0:3](-[#8:6])-[#6;R0:2](=[O:1])-[#6;R0:8]-[#8:9].[#6;R1:5]-[#7H1:4]	Any;Any	Creighton TE and Yanofsky C (1970) Methods of Enzymology 17 Part A: 365-380
NRiboseHydrolysis	Any;Water	[#7A:1]-[#6;R1r5:2](-[#8;R1r5:4])-[#6;R1r5:3]-[#8H1:5].[#8:6]>>[#7:1].[#8H1:5]-[#6;R1r5:3]-[#6;R1r5:2](-[#8;R1r5:4])-[#8:6]	Any;Any	660311; Jan Velisek (2014) The Chemistry of Food: 374-375
NucleophileAcylation_1,3-BPG	Any;1,3-BPG	[#6:6]-[#7H2,SH:5].[#6:1]-[#6:2](=[O:3])-[$(O[PD4]),$(SC):4]>>[#6:6]-[*:5]-[#6:2](-[#6:1])=[O:3].[*:4]	Any;Pi	24725594
NucleophileAcylation_AcetylCoa	Any;AcetylCoa	[#6:6]-[#7H2,SH:5].[#6:1]-[#6:2](=[O:3])-[$(O[PD4]),$(SC):4]>>[#6:6]-[*:5]-[#6:2](-[#6:1])=[O:3].[*:4]	Any;Coa	24725594
NucleophileAcylation_AcetylPhosphate	Any;AcetylPhosphate	[#6:6]-[#7H2,SH:5].[#6:1]-[#6:2](=[O:3])-[$(O[PD4]),$(SC):4]>>[#6:6]-[*:5]-[#6:2](-[#6:1])=[O:3].[*:4]	Any;Pi	23830618
NucleophileAcylation_Lysine	Any;Lysine	[#6:1]-[#6:2](=[O:3])-;!@[$(O[PD4]),$(SC):4].[#6:6]-[#7H2:5]>>[#6:6]-[#7:5]-[#6:2](-[#6:1])=[O:3].[*:4]	Any;Any	24725594
NucleophileAcylation_SuccinylCoa	Any;SuccinylCoa	[#6:6]-[#7H2,SH:5].[#6:1]-[#6:2](=[O:3])-[$(O[PD4]),$(SC):4]>>[#6:6]-[*:5]-[#6:2](-[#6:1])=[O:3].[*:4]	Any;Coa	24725594
NucleophilicAddition_Cysteine	Any;Cysteine	[#6H1:3]=[O:4].[#6:2]-[#16H1,#7H2:1]>>[#6:2]-[*:1]-[#6:3]-[#8H1:4]	Any
